District code,Male,Female,Literate,Total_Power_Parity,Housholds_with_Electric_Lighting,Households_with_Internet,Rural_Households,Urban_Households,State,District,Latitude,Longitude
4,77785,63017,86236,214,15824,235,40370,7774,Jammu and Kashmir,Kargil,33.565994894894914,76.63675315315312
5,251899,224936,261724,629,62900,346,132139,15269,Jammu and Kashmir,Punch,33.791241290322574,74.29593161290322
7,326109,290326,389204,936,109422,1443,181374,33473,Jammu and Kashmir,Kathua,32.51781678321678,75.58901398601404
10,651124,585705,748584,3099,165403,16413,4518,257721,Jammu and Kashmir,Srinagar,34.27312898550724,75.11021159420288
12,293064,267376,293958,1068,73629,1537,147520,21703,Jammu and Kashmir,Pulwama,33.88414418604652,75.00921860465118
16,213641,196295,219083,1103,61831,596,122267,11350,Jammu and Kashmir,Doda,33.359614675767915,76.07163720136518
19,296784,258201,322354,1278,73999,1214,148664,34696,Jammu and Kashmir,Udhampur,33.04770670731707,75.15286951219511
21,813821,716137,1137135,3525,294739,19905,254566,248043,Jammu and Kashmir,Jammu,32.713199095022645,74.8477520361991
23,261320,257760,323842,950,96082,1615,186395,13836,Himachal Pradesh,Chamba,32.66741814595661,76.39354063116366
24,750591,759484,1152640,2878,330081,8053,588321,39007,Himachal Pradesh,Kangra,32.14093603238864,76.41205910931173
26,225452,212451,307672,854,91322,2623,167995,20709,Himachal Pradesh,Kullu,31.90911922077925,77.40922649350647
27,498065,501712,723747,1842,214491,5333,431129,31696,Himachal Pradesh,Mandi,31.635805940594054,76.96556930693067
28,217070,237698,358091,878,104120,2521,196116,15232,Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594
28,217070,237698,358091,878,104120,2521,196116,15232,Uttar Pradesh,Hamirpur,25.738158381502892,79.82619479768789
168,593537,510748,653299,1291,55929,1196,256081,55300,Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594
168,593537,510748,653299,1291,55929,1196,256081,55300,Uttar Pradesh,Hamirpur,25.738158381502892,79.82619479768789
29,263692,257481,399715,987,105929,2412,185091,20126,Himachal Pradesh,Una,31.58330388349513,76.18353932038836
30,192764,189192,287620,3666,79146,1574,152458,11987,Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188
30,192764,189192,287620,3666,79146,1574,152458,11987,Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157
406,1351574,1312055,1596560,2981,519704,8566,549632,188174,Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188
406,1351574,1312055,1596560,2981,519704,8566,549632,188174,Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157
31,308754,271566,428578,1253,119866,5250,192787,51509,Himachal Pradesh,Solan,31.03864311926604,76.94442140672783
32,276289,253566,362645,930,91509,2220,171102,21054,Himachal Pradesh,Sirmaur,30.682764453961443,77.43184689507493
33,425039,388971,612642,1668,172754,9177,279269,95896,Himachal Pradesh,Shimla,31.155725451807253,77.62573042168668
34,46249,37872,60699,181,17865,354,44514,0,Himachal Pradesh,Kinnaur,31.60667184065933,78.51613736263741
35,1212617,1085706,1634719,5982,411216,14428,420860,185488,Punjab,Gurdaspur,32.04283371212125,75.3204064393939
36,426311,388857,576567,2472,161206,9732,165433,95770,Punjab,Kapurthala,31.336592638036837,75.47641165644177
37,1145211,1048379,1622537,6883,446200,39082,330339,377791,Punjab,Jalandhar,31.250336907216507,75.54400350515463
38,809057,777568,1199699,4305,319930,13747,422673,128592,Punjab,Hoshiarpur,31.55157169811319,75.8469857442349
40,320795,279368,426033,1640,113683,5138,117559,57337,Punjab,Fatehgarh Sahib,30.64290947368421,76.36208394736842
41,1867816,1630923,2560225,10593,703624,58589,395032,641789,Punjab,Ludhiana,30.76596397379912,75.83110851528383
42,525920,469826,627889,2774,183396,7897,214295,74144,Punjab,Moga,30.756540067340065,75.1600845117845
43,1071637,957437,1227511,4283,349662,10042,348522,153868,Punjab,Firozpur,30.63407535211269,74.40245732394365
44,475622,426274,524848,2025,166585,4571,149507,74650,Punjab,Muktsar,30.31243303303303,74.5518747747748
45,326671,290837,381285,1540,113549,4348,99946,58917,Punjab,Faridkot,30.591187250996025,74.79751553784862
46,743197,645328,844868,3365,255650,11284,218159,137563,Punjab,Bathinda,30.190524611973352,75.05685898004438
47,408732,361019,423560,1694,140099,2673,145603,50786,Punjab,Mansa,29.919547714285724,75.4304922857143
48,1002522,893164,1266791,5679,352929,24274,299279,218090,Punjab,Patiala,30.214540380693364,76.27505893949697
49,1318408,1172248,1684770,6979,461231,29961,275477,385476,Punjab,Amritsar,31.548679820627772,74.79883856502238
51,357485,327142,502731,2034,129123,6600,148162,60537,Punjab,Rupnagar,30.910937330754347,76.53743500967126
53,878029,777140,1002077,3943,305557,10736,292156,156788,Punjab,Sangrur,30.185045204336895,75.89437014178496
55,580663,474787,805438,34145,231204,44283,8911,289456,Chandigarh,Chandigarh,30.7426,76.75872465753424
56,168597,161489,215126,356,52621,602,112148,9061,Uttaranchal,Uttarkashi,30.968958552036234,78.56880615384617
57,193991,197614,280556,467,71524,899,163434,22906,Uttaranchal,Chamoli,30.58338611464965,79.56281095541402
59,297986,320945,407994,743,117239,1366,227059,27177,Uttaranchal,Tehri Garhwal,30.463700918635173,78.48783792650917
62,239306,244133,345550,631,95421,1344,183687,26256,Uttaranchal,Pithoragarh,30.14720631868129,80.34229230769236
63,124326,135572,179483,281,47083,435,96031,3880,Uttaranchal,Bageshwar,29.98703393393397,79.83954354354357
64,291081,331425,436497,742,109876,1830,260056,21082,Uttaranchal,Almora,29.683532133676103,79.50165064267351
65,131125,128523,177726,309,37725,548,85202,12839,Uttaranchal,Champawat,29.29142393939393,80.07720212121217
67,858783,790119,1037839,1805,254802,7883,269406,145253,Uttaranchal,Udham Singh Nagar,29.02779577677222,79.45629004524895
69,299679,261614,405318,1445,103455,18615,70895,93656,Haryana,Panchkula,30.700897142857134,76.97173238095236
70,598703,529647,818025,2781,199681,12899,175365,139891,Haryana,Ambala,30.3503672316384,76.94970310734456
72,510976,453679,646893,2137,171908,7356,203553,88268,Haryana,Kurukshetra,30.05652659846548,76.78774680306903
73,571003,503301,646529,2046,187349,3724,231091,75696,Haryana,Kaithal,29.96068539094649,76.37698930041155
74,797712,707612,978013,3368,267223,11163,292682,135920,Haryana,Karnal,29.703200647249204,76.87488025889972
75,646857,558580,786599,2559,209965,10024,173502,153804,Haryana,Panipat,29.34352134146342,76.92895914634147
77,713006,621146,832758,2674,222462,5263,278335,89665,Haryana,Jind,29.45149821958457,76.29598575667653
78,495360,446651,557578,1854,153301,3210,203020,55360,Haryana,Fatehabad,29.57298318584072,75.54608716814157
79,682582,612607,782897,2681,215527,6287,245476,93316,Haryana,Sirsa,29.63583446327684,74.90970480225988
80,931562,812369,1114311,3642,285004,10132,302013,154113,Haryana,Hisar,29.23628731117825,75.84324682779452
81,866672,767773,1069871,3349,266244,5292,357047,99235,Haryana,Bhiwani,28.728868064516128,76.02110225806452
82,568479,492725,747582,2299,193120,8482,175203,131739,Haryana,Rohtak,28.892517647058817,76.53123235294117
83,514667,443738,676091,2169,168558,5034,211816,78328,Haryana,Jhajjar,28.59651868131869,76.61137142857145
84,486665,435423,630255,1894,135455,2624,223726,44216,Haryana,Mahendragarh,28.1352161458333,76.14018072916659
85,474335,425997,636947,1979,152651,5121,199449,69305,Haryana,Rewari,28.19164714828897,76.55956007604564
86,816690,697742,1111116,3107,305751,67087,141703,381988,Haryana,Gurgaon,28.043894789579163,77.01935130260523
88,966110,843623,1272739,5080,333171,43437,87700,382981,Haryana,Faridabad,28.14873109756098,77.32718536585368
93,907500,801846,1352998,7151,352758,80037,1086,461132,Sikkim,East,27.29600352941175,88.74908392156858
99,1043340,925828,1193343,3332,283142,6295,397697,164897,Rajasthan,Ganganagar,29.256785412667963,73.56192303262948
100,931184,843508,1034136,2709,243163,3360,389059,108694,Rajasthan,Hanumangarh,29.1813351791531,74.74632573289902
101,1240801,1123136,1278801,3411,220793,7607,335754,196179,Rajasthan,Bikaner,28.12489068322981,73.26943322981371
102,1051446,988101,1149269,3361,231696,2577,344897,148996,Rajasthan,Churu,28.29330375536484,74.65846427038629
103,1095896,1041149,1370360,3300,297559,4828,500452,150357,Rajasthan,Jhunjhunun,28.13517401247401,75.52840893970894
104,1939026,1735153,2182476,5732,485723,9750,782294,212967,Rajasthan,Alwar,27.55271738035265,76.65359630562563
105,1355726,1192736,1480869,3699,288723,4179,479437,129697,Rajasthan,Bharatpur,27.32411858037578,77.21752077244258
106,653647,552869,683098,1641,96086,1330,214670,58626,Rajasthan,Dhaulpur,26.72397054945053,77.74476219780222
107,783639,674609,805849,1987,132079,1059,305047,59308,Rajasthan,Karauli,26.51901555555556,76.96081818181815
108,704031,631520,741748,1900,140947,1887,282057,71264,Rajasthan,Sawai Madhopur,26.251081180223288,76.4219283891548
109,857787,776622,938051,2286,195277,1719,361084,59610,Rajasthan,Dausa,26.91234817629181,76.57342097264443
110,3468507,3157671,4300965,12219,990085,76565,754841,977838,Rajasthan,Jaipur,27.033459290187885,75.77117286012533
111,1374990,1302343,1652117,4033,339457,5647,527560,178274,Rajasthan,Sikar,27.64644058641976,75.29317422839503
112,1696325,1611418,1758624,4863,347344,4449,675712,166489,Rajasthan,Nagaur,27.07862016048146,74.14215667001012
113,1923928,1763237,2031532,5708,408808,19335,584215,307442,Rajasthan,Jodhpur,26.678460838536967,73.00450847457628
114,361708,308211,308653,986,43141,754,159117,30830,Rajasthan,Jaisalmer,26.86900838548185,71.18371877346682
115,1369022,1234729,1188322,3437,126494,2766,542825,55980,Rajasthan,Barmer,25.77070908045978,71.50297126436782
116,936634,892096,829582,2470,161845,1585,419216,48202,Rajasthan,Jalor,25.07578093797277,72.18647261724662
117,534231,502115,476806,1621,134089,2146,238535,69639,Rajasthan,Sirohi,24.7976905263158,72.75309131578943
118,1025422,1012151,1085693,3317,326793,4043,512909,139808,Rajasthan,Pali,25.80490393541874,73.55285640766907
119,1324085,1258967,1526673,4339,393498,13499,409335,274919,Rajasthan,Ajmer,26.199300378787903,74.6990419191919
120,728136,693190,749659,2145,158264,1908,298911,81755,Rajasthan,Tonk,26.153935071707927,75.79192216427637
121,577160,533746,585044,1723,136969,1392,239836,63452,Rajasthan,Bundi,25.48580716049379,75.79984074074079
122,1220736,1187787,1256126,3694,373644,6207,530015,145865,Rajasthan,Bhilwara,25.45119767759564,74.63947595628417
123,581339,575258,619139,1821,193276,1989,304622,61054,Rajasthan,Rajsamand,25.24894767441859,73.96570215946844
124,696532,692020,681591,2030,141275,1477,322816,31547,Rajasthan,Dungarpur,23.75104807692308,73.84765641025645
125,907754,889731,829343,2734,120603,2324,390437,39407,Rajasthan,Banswara,23.453642032967014,74.44246868131869
126,783171,761167,821825,3238,268172,4941,366780,88873,Rajasthan,Chittaurgarh,24.631623761665463,74.80010997846382
127,1021161,929853,1298345,3394,339899,12843,203454,311735,Rajasthan,Kota,25.175718080000014,76.18618928000001
128,633945,588810,693307,1741,161310,1363,249184,69804,Rajasthan,Baran,24.98023243243244,76.86210651828291
129,725143,685986,739792,1962,220428,1750,298624,63763,Rajasthan,Jhalawar,24.24725541474657,76.11242891705065
130,1566801,1501619,1582629,5101,357846,14211,665449,182769,Rajasthan,Udaipur,24.44076752136749,73.84029839743584
131,437744,430104,401515,2829,71612,716,209813,24269,Uttar Pradesh,Pratapgarh,25.864842731707316,81.93530048780492
173,1606085,1603056,1931559,3639,140538,5149,711085,41701,Uttar Pradesh,Pratapgarh,25.864842731707316,81.93530048780492
132,1834106,1632276,2077108,4029,404499,9699,605082,284156,Uttar Pradesh,Saharanpur,30.03381165217392,77.59905147826095
133,2193434,1950078,2417339,4871,368153,10077,673746,296104,Uttar Pradesh,Muzaffarnagar,29.470507977736563,77.64017847866423
134,1921215,1761498,2135393,4310,268353,7303,683875,224648,Uttar Pradesh,Bijnor,29.313974259681096,78.45098815489754
135,2503186,2268820,2263848,5452,281758,11690,692398,355518,Uttar Pradesh,Moradabad,28.851770406189537,78.73580193423597
136,1223889,1111930,1043666,2545,131112,3847,396775,143217,Uttar Pradesh,Rampur,28.83244727272725,79.10977333333337
137,963449,876772,983110,2074,89329,2825,335888,115486,Uttar Pradesh,Jyotiba Phule Nagar,28.870498984771597,78.39009365482241
138,1825743,1617946,2141488,4953,425624,23717,381520,422303,Uttar Pradesh,Meerut,29.02957625698323,77.80611005586593
139,700070,602978,797970,1514,119121,2989,246055,69991,Uttar Pradesh,Baghpat,29.045793499999988,77.30266300000001
140,2488834,2192811,3123264,5946,695130,78116,355407,836316,Uttar Pradesh,Ghaziabad,28.74997308584685,77.67441879350343
141,890214,757901,1122947,2578,257586,53181,170835,338935,Uttar Pradesh,Gautam Buddha Nagar,28.393311038961038,77.52462467532465
