District code,Male,Female,Literate,Total_Power_Parity,Housholds_with_Electric_Lighting,Households_with_Internet,Rural_Households,Urban_Households,State,District,Latitude,Longitude
295,73170,69164,82062,139,10940,179,35930,3713,Meghalaya,South Garo Hills,25.240568578553614,90.64560349127176
296,193715,189746,230678,479,32873,149,74832,12299,Meghalaya,West Khasi Hills,25.500889926739926,91.25364542124538
298,410749,415173,578030,1456,135941,5032,106248,108843,Meghalaya,East Khasi Hills,25.303763888888884,91.75922519841272
299,196285,198839,187527,528,41677,510,76546,7171,Meghalaya,Jaintia Hills,25.33959557069844,92.37608160136298
300,452905,434237,489305,348,41373,1218,204896,17115,Assam,Kokrajhar,26.497246635730868,90.13997470997688
302,513292,494891,563577,348,78641,1364,228610,39504,Assam,Goalpara,26.017277777777807,90.59869891598912
303,867004,826618,897058,348,84804,2078,447189,52192,Assam,Barpeta,26.427872264631056,90.97912010178116
305,1439112,1384656,1710716,348,195631,5121,674999,124186,Assam,Nagaon,26.26462170626351,92.9306191144708
306,983904,940206,1108572,348,133368,4358,483325,64528,Assam,Sonitpur,26.73514926829268,92.85197804878044
307,529674,512463,683486,348,60296,1948,293239,34694,Assam,Lakhimpur,27.14128805970149,94.0775949253732
308,351249,334884,423028,348,28195,1192,211758,16504,Assam,Dhemaji,27.586533438485816,94.71336908517353
309,680231,647698,798322,348,161718,5135,290704,90910,Assam,Tinsukia,27.53549291139241,95.69055949367085
310,676434,649901,884531,348,136685,8817,299852,77163,Assam,Dibrugarh,27.30612284482757,95.0998282327587
312,556805,535451,794929,348,122063,5651,286330,80824,Assam,Jorhat,26.76244824016563,94.30197722567289
313,543161,523727,721764,348,82345,3073,292893,34190,Assam,Golaghat,26.377219709794485,93.82583397823468
314,490167,466146,557214,348,53918,1923,215691,37185,Assam,Karbi Anglong,26.08966454598031,93.11536570271832
316,886284,850333,1174128,348,140205,5316,346227,88933,Assam,Cachar,24.815570668693017,92.86849650455927
317,625864,602822,795297,348,70951,1933,261945,32695,Assam,Karimganj,24.69660712250711,92.3679498575498
318,337890,321406,407366,348,44143,1211,159215,16202,Assam,Hailakandi,24.457496089385486,92.59154664804475
319,375818,362986,434078,348,49866,2523,181923,38470,Assam,Bongaigaon,26.45012521994133,90.6734296187684
321,778461,739081,995319,348,122191,3109,390596,43849,Assam,Kamrup,26.170939452054807,91.58863273972592
323,396006,375633,531771,348,68313,1631,210706,28238,Assam,Nalbari,26.46323767605632,91.40598521126763
325,475273,453227,487039,348,45444,1166,268517,20189,Assam,Darrang,26.58463215962442,92.04141338028155
